Test Case,Method,ID,Crashes,Non Crashes,Predicates,SLOC,Trace Analysis Time,Monitoring Time,Ranking Time,Tracing Time,Instructions Traced,Total Instructions,Time to Prepare For Tracing
nm_trace,aurora,2,12,247,7,2,2.78,0.83,0.0,31.71,1603,6932,0
nm_trace,aurora,3,11,330,2,2,3.56,0.69,0.0,41.63,1600,6921,0
nm_trace,aurora,0,13,294,1,1,3.23,0.72,0.0,36.61,1610,6958,0
nm_trace,aurora,4,14,289,1,1,3.12,0.74,0.0,35.87,1596,6907,0
nm_trace,loc,0,13,294,7,6,0.98,0.66,0.0,21.21,1610,6954,148.059
nm_trace,loc,3,11,330,2,2,1.09,0.64,0.0,25.14,1600,6916,149.096
nm_trace,loc,1,10,279,4,4,1.07,0.69,,21.19,1606,6941,154.55599999999998
nm_trace,loc,2,12,247,8,8,0.8,0.72,0.0,19.0,1603,6929,149.07999999999998
nm_trace,loc,4,14,289,1,1,0.97,0.66,0.0,21.16,1596,6903,146.35399999999998
nm_trace,basic block,4,14,289,2,2,0.45,0.68,0.0,17.62,1593,6895,0
nm_trace,basic block,2,12,247,4,5,0.37,0.71,0.0,15.74,1600,6921,0
nm_trace,basic block,3,11,330,2,2,0.5,0.67,0.0,20.62,1596,6907,0
nm_trace,basic block,0,13,294,4,4,0.49,0.67,0.0,18.34,1606,6945,0
nm_trace,basic block,1,10,279,1,2,0.52,0.71,0.0,18.3,1603,6932,0
nm_trace,loc with source,1,10,279,4,4,0.96,0.73,,23.04,1606,6937,0.12
nm_trace,loc with source,3,11,330,2,2,1.12,0.68,0.0,25.42,1599,6912,0.11
nm_trace,loc with source,4,14,289,1,1,0.98,0.67,0.0,21.68,1596,6899,0.11
nm_trace,loc with source,2,12,247,8,8,0.81,0.74,0.0,19.36,1602,6925,0.11
nm_trace,loc with source,0,13,294,7,6,1.05,0.67,0.0,21.86,1609,6949,0.12
readelf_trace,aurora,1,234,1556,4,2,56.48,14.2,0.15,218.45,1544,5779,0
readelf_trace,aurora,2,235,1395,4,2,45.77,14.06,0.13,195.65,1537,5774,0
readelf_trace,aurora,3,225,1440,4,2,48.68,14.47,0.18,203.99,1529,5762,0
readelf_trace,aurora,0,248,1567,4,2,60.44,14.19,0.1,236.08,1549,5766,0
readelf_trace,aurora,4,235,1463,4,2,49.25,13.5,0.21,198.96,1525,5763,0
readelf_trace,loc,0,248,1567,2,2,23.05,6.43,0.02,155.05,1557,5770,94.112
readelf_trace,loc,3,225,1440,2,2,18.52,6.29,0.02,133.63,1534,5762,93.82300000000001
readelf_trace,loc,1,234,1556,2,2,21.06,6.19,0.03,143.26,1549,5776,90.846
readelf_trace,loc,2,235,1395,2,2,17.22,6.25,0.03,129.89,1541,5769,95.467
readelf_trace,loc,4,235,1463,2,2,18.08,6.06,0.02,131.77,1529,5760,88.542
readelf_trace,basic block,4,235,1463,1,1,8.98,7.34,0.03,122.89,1519,5754,0
readelf_trace,basic block,2,235,1395,1,1,7.7,6.86,0.01,111.12,1529,5762,0
readelf_trace,basic block,3,225,1440,1,1,7.69,6.59,0.01,110.09,1525,5763,0
readelf_trace,basic block,0,248,1567,1,1,10.2,7.07,0.03,129.77,1544,5779,0
readelf_trace,basic block,1,234,1556,1,1,9.05,6.67,0.01,119.93,1537,5774,0
readelf_trace,loc with source,1,234,1556,2,2,20.73,6.49,0.03,143.36,1554,5774,0.05
readelf_trace,loc with source,3,225,1440,2,2,18.01,6.04,0.02,134.48,1539,5762,0.05
readelf_trace,loc with source,4,235,1463,2,2,19.89,6.91,0.03,136.08,1533,5756,0.05
readelf_trace,loc with source,2,235,1395,2,2,17.54,6.56,0.03,137.75,1545,5765,0.05
readelf_trace,loc with source,0,248,1567,2,2,24.26,6.63,0.02,154.66,1564,5773,0.06
ziptool_trace,aurora,1,40,279,8,6,2.89,0.92,0.03,55.97,1585,6869,0
ziptool_trace,aurora,2,28,262,9,7,2.68,0.93,0.01,49.02,1579,6844,0
ziptool_trace,aurora,3,22,242,9,7,2.21,1.0,0.03,49.86,1573,6822,0
ziptool_trace,aurora,0,31,323,9,7,3.39,0.93,0.03,58.55,1593,6895,0
ziptool_trace,aurora,4,27,277,9,7,2.62,0.88,0.01,50.51,1567,6802,0
ziptool_trace,loc,0,31,323,6,6,1.02,0.73,0.01,24.23,1591,6886,24.663
ziptool_trace,loc,3,22,242,5,5,0.7,0.82,0.01,20.94,1571,6815,23.847
ziptool_trace,loc,1,40,279,5,5,0.94,0.77,0.01,21.78,1584,6860,24.079
ziptool_trace,loc,2,28,262,5,5,0.81,0.75,0.01,20.83,1577,6837,23.952
ziptool_trace,loc,4,27,277,6,6,0.82,0.76,0.0,21.29,1566,6794,23.712
ziptool_trace,basic block,4,27,277,6,5,0.43,0.79,0.0,15.33,1561,6779,0
ziptool_trace,basic block,2,28,262,7,6,0.41,0.78,0.0,14.22,1573,6822,0
ziptool_trace,basic block,3,22,242,7,6,0.35,0.78,0.01,13.91,1567,6802,0
ziptool_trace,basic block,0,31,323,7,6,0.52,0.73,0.01,17.63,1585,6869,0
ziptool_trace,basic block,1,40,279,6,5,0.44,0.76,0.01,16.13,1579,6844,0
ziptool_trace,loc with source,1,40,279,5,5,0.9,0.79,0.01,23.71,1582,6852,0.02
ziptool_trace,loc with source,3,22,242,5,5,0.69,0.84,0.01,18.98,1570,6808,0.02
ziptool_trace,loc with source,4,27,277,6,6,0.81,0.77,0.0,21.13,1564,6786,0.03
ziptool_trace,loc with source,2,28,262,5,5,0.83,0.81,0.01,19.54,1576,6829,0.02
ziptool_trace,loc with source,0,31,323,6,6,1.06,0.71,0.01,24.69,1590,6877,0.03
